TimeSeries ID,instance/cpu/utilization.gce_instance.ALIGN_MEAN.REDUCE_MEAN.resource.type="gce_instance" AND metric.type="compute.googleapis.com/instance/cpu/utilization".name:backup-mt-1.project_id:master-thesis-benchmark.zone:europe-west6-c,instance/cpu/utilization.gce_instance.ALIGN_MEAN.REDUCE_MEAN.resource.type="gce_instance" AND metric.type="compute.googleapis.com/instance/cpu/utilization".name:backup-mt-1-instance-0.project_id:master-thesis-benchmark.zone:europe-west6-c,instance/cpu/utilization.gce_instance.ALIGN_MEAN.REDUCE_MEAN.resource.type="gce_instance" AND metric.type="compute.googleapis.com/instance/cpu/utilization".name:backup-mt-1-instance-1.project_id:master-thesis-benchmark.zone:europe-west6-c,instance/cpu/utilization.gce_instance.ALIGN_MEAN.REDUCE_MEAN.resource.type="gce_instance" AND metric.type="compute.googleapis.com/instance/cpu/utilization".name:backup-mt-1-instance-2.project_id:master-thesis-benchmark.zone:europe-west6-c,instance/cpu/utilization.gce_instance.ALIGN_MEAN.REDUCE_MEAN.resource.type="gce_instance" AND metric.type="compute.googleapis.com/instance/cpu/utilization".name:test.project_id:master-thesis-benchmark.zone:us-central1-a
project_id,master-thesis-benchmark,master-thesis-benchmark,master-thesis-benchmark,master-thesis-benchmark,master-thesis-benchmark
zone,europe-west6-c,europe-west6-c,europe-west6-c,europe-west6-c,us-central1-a
system_labels.name,backup-mt-1,backup-mt-1-instance-0,backup-mt-1-instance-1,backup-mt-1-instance-2,test
Tue Jul 11 2023 14:30:00 GMT+0200 (Central European Summer Time),0.00914242535892754,0.57056797306225,0.553747473898217,0.532232913047767,undefined
Tue Jul 11 2023 14:35:00 GMT+0200 (Central European Summer Time),0.008431702628662,0.5102831984760806,0.5362561285013596,0.5351751475776754,undefined
Tue Jul 11 2023 14:40:00 GMT+0200 (Central European Summer Time),0.00878446843181185,0.5437840408747541,0.5825167192461147,0.5252254427823352,undefined
Tue Jul 11 2023 14:45:00 GMT+0200 (Central European Summer Time),0.008744533324782727,0.5390513754186032,0.5324789272704121,0.555235210497326,undefined
Tue Jul 11 2023 14:50:00 GMT+0200 (Central European Summer Time),0.00843527854376892,0.5404522592520561,0.5514196458192183,0.5392095324328291,undefined
Tue Jul 11 2023 14:55:00 GMT+0200 (Central European Summer Time),0.042628746373864795,0.5311168094822855,0.5632974424292841,0.597419209204332,undefined
Tue Jul 11 2023 15:00:00 GMT+0200 (Central European Summer Time),0.01167479638716486,undefined,undefined,undefined,undefined
Tue Jul 11 2023 15:05:00 GMT+0200 (Central European Summer Time),0.010583296678476775,undefined,undefined,undefined,0.210321789124521
Tue Jul 11 2023 15:10:00 GMT+0200 (Central European Summer Time),0.008478970690265063,undefined,undefined,undefined,1.0375344259416646
Tue Jul 11 2023 15:15:00 GMT+0200 (Central European Summer Time),0.007673591643398746,undefined,undefined,undefined,0.6515920585696102
Tue Jul 11 2023 15:20:00 GMT+0200 (Central European Summer Time),0.0077892045299040565,undefined,undefined,undefined,0.05282860345894321
Tue Jul 11 2023 15:25:00 GMT+0200 (Central European Summer Time),0.020118054036655245,undefined,undefined,undefined,undefined
Tue Jul 11 2023 15:30:00 GMT+0200 (Central European Summer Time),0.8478614743298462,undefined,undefined,undefined,undefined
Tue Jul 11 2023 15:35:00 GMT+0200 (Central European Summer Time),0.5952395290889807,undefined,undefined,undefined,undefined
Tue Jul 11 2023 15:40:00 GMT+0200 (Central European Summer Time),0.9842624171828828,undefined,undefined,undefined,undefined
Tue Jul 11 2023 15:45:00 GMT+0200 (Central European Summer Time),0.9861038424558879,undefined,undefined,undefined,undefined
Tue Jul 11 2023 15:50:00 GMT+0200 (Central European Summer Time),0.8981616963451037,undefined,undefined,undefined,undefined
Tue Jul 11 2023 15:55:00 GMT+0200 (Central European Summer Time),0.11851260547482372,undefined,undefined,undefined,undefined
Tue Jul 11 2023 16:00:00 GMT+0200 (Central European Summer Time),0.979935993379683,undefined,undefined,undefined,undefined
Tue Jul 11 2023 16:05:00 GMT+0200 (Central European Summer Time),0.9877475681653868,undefined,undefined,undefined,undefined
